cell_id,concurrency,measured_requests,order,role,warmup_requests,wave,planned,valid_outputs,failed,effective_outputs_per_second,measured_walltime_s,known_usd,unknown_requests,cost_status_counts,valid_http_p50_ms,valid_http_p95_ms,all_attempt_http_p50_ms,all_attempt_http_p95_ms,admission_wait_p50_ms,admission_wait_p95_ms,known_usd_per_1000_planned,peak_http_inflight,started_at,ended_at,failure_percent
w3_luna_c8,8,200,48,luna,5,3,200,200,0,6.012074048311224,33.26639,0.0171462,0,{'provider_reported': 200},1189.31,1968.0349999999987,1189.31,1968.0349999999987,0.001,0.002,0.085731,8,2026-09-23T02:38:33.909931+00:00,2026-09-23T02:39:07.176863+00:00,0.0
w3_gemini_c16,16,200,49,gemini,5,3,200,200,0,17.852902792729584,11.20266,0.02122450,0,{'provider_reported': 200},748.193,1326.954599999996,748.193,1326.954599999996,0.001,0.001,0.1061225,16,2026-09-23T02:39:11.283496+00:00,2026-09-23T02:39:22.486539+00:00,0.0
w3_jev_c4,4,200,50,jev,5,3,200,197,3,8.63687718579852,22.809169999999998,0.005742282,0,{'provider_reported': 200},384.607,505.44659999999993,384.809,510.3936999999998,0.0325,46.90699999999999,0.02871141,4,2026-09-23T02:39:25.088404+00:00,2026-09-23T02:39:47.897876+00:00,1.5
w3_jev_c32,32,200,51,jev,5,3,200,200,0,15.896007050197047,12.581776,0.005742282,0,{'provider_reported': 200},463.527,1717.3314999999998,463.527,1717.3314999999998,1108.6599999999999,1544.1983,0.02871141,26,2026-09-23T02:39:50.540840+00:00,2026-09-23T02:40:03.122809+00:00,0.0
w3_gemini_c8,8,200,52,gemini,5,3,200,200,0,9.257652456525022,21.603749,0.02123200,0,{'provider_reported': 200},759.0374999999999,968.5512499999999,759.0374999999999,968.5512499999999,0.001,0.002,0.10616,8,2026-09-23T02:40:07.393077+00:00,2026-09-23T02:40:28.997462+00:00,0.0
w3_luna_c32,32,200,53,luna,5,3,200,200,0,18.906097008318117,10.578598,0.0171462,0,{'provider_reported': 200},1216.4605000000001,2062.8947,1216.4605000000001,2062.8947,0.001,0.001,0.085731,32,2026-09-23T02:40:35.339243+00:00,2026-09-23T02:40:45.918228+00:00,0.0
w3_jev_c1,1,200,54,jev,5,3,200,197,3,1.5409327830883988,127.84464200000001,0.005714352,1,"{'provider_reported': 199, 'unknown': 1}",381.316,486.4798,382.039,486.8447999999999,0.028,0.036,0.02857176,1,2026-09-23T02:40:48.150781+00:00,2026-09-23T02:42:55.996970+00:00,1.5
w3_deepseek_c1,1,200,55,deepseek,5,3,200,200,0,0.9398894986954616,212.790972,0.0238332,0,{'estimated_upper_peak_uncached': 200},1008.727,1238.41905,1008.727,1238.41905,0.001,0.002,0.119166,1,2026-09-23T02:43:02.102210+00:00,2026-09-23T02:46:34.895941+00:00,0.0
w3_deepseek_c8,8,200,56,deepseek,5,3,200,200,0,7.14154284391876,28.005153,0.0238332,0,{'estimated_upper_peak_uncached': 200},1015.9155000000001,1306.72585,1015.9155000000001,1306.72585,0.001,0.001,0.119166,8,2026-09-23T02:46:39.908344+00:00,2026-09-23T02:47:07.914029+00:00,0.0
w3_gemini_c4,4,200,57,gemini,5,3,200,200,0,4.970972997376419,40.233572,0.02126650,0,{'provider_reported': 200},730.5005,952.2897499999999,730.5005,952.2897499999999,0.001,0.002,0.1063325,4,2026-09-23T02:47:13.020433+00:00,2026-09-23T02:47:53.254747+00:00,0.0
w3_deepseek_c32,32,200,58,deepseek,5,3,200,200,0,22.688511468021566,8.815033999999999,0.0238332,0,{'estimated_upper_peak_uncached': 200},1059.0635,1866.2522499999998,1059.0635,1866.2522499999998,0.001,0.001,0.119166,32,2026-09-23T02:47:59.616996+00:00,2026-09-23T02:48:08.432180+00:00,0.0
w3_luna_c16,16,200,59,luna,5,3,200,200,0,11.378970172476171,17.576283,0.0171462,0,{'provider_reported': 200},1191.189,1892.398,1191.189,1892.398,0.001,0.001,0.085731,16,2026-09-23T02:48:15.128753+00:00,2026-09-23T02:48:32.705528+00:00,0.0
